,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,CGPA
476,9,10,6,7,10,7,6,9,9,5,7,9,8,5,5,10,6,9,7,7,5,7,9,5,5,10,10,10,9,5,5,5,5,9,9,6,10,8,9,6,10,10,7,10,5,10,6,7.91875
477,9,7,8,9,10,5,6,6,7,9,6,7,7,9,10,6,5,10,7,8,8,10,9,5,10,8,10,7,5,6,7,6,6,7,10,10,5,5,6,8,10,10,6,10,10,6,9,7.496875
478,9,10,6,10,5,6,9,7,5,6,5,6,6,8,9,6,10,8,7,7,6,5,6,5,9,8,9,10,7,10,8,8,10,7,9,9,7,5,8,10,6,5,10,10,8,7,10,7.56875
479,7,5,8,7,5,10,5,9,5,8,9,7,5,9,5,7,9,7,10,10,8,10,6,7,7,8,6,9,10,8,6,10,10,9,5,7,10,8,8,7,6,9,10,10,6,6,8,7.803125
480,8,7,8,5,5,9,9,8,7,7,9,8,10,5,6,9,7,10,7,6,7,7,9,8,6,7,8,7,7,8,9,10,5,10,7,7,7,6,5,7,8,8,8,6,10,6,7,7.259375
481,9,7,5,5,10,5,7,10,5,7,6,5,9,7,10,5,10,6,9,9,10,6,10,8,7,6,9,6,10,9,6,7,8,7,10,7,10,5,6,9,5,7,7,8,5,6,10,7.334375
482,6,6,5,10,8,5,6,8,8,9,10,8,7,8,6,6,5,5,7,9,9,8,8,6,6,8,5,6,7,9,6,8,5,10,5,5,7,6,6,5,5,8,10,5,7,9,8,7.20625
483,9,6,8,9,8,6,5,5,10,7,6,5,8,10,5,7,5,8,7,6,9,7,9,5,8,6,9,9,9,8,7,6,10,7,6,10,6,10,6,7,8,10,7,8,6,10,10,7.5
484,10,7,5,5,10,5,8,10,6,8,9,9,6,5,7,6,10,7,5,8,10,7,8,9,10,8,9,6,5,8,9,5,7,5,9,8,9,5,5,8,10,5,7,6,6,10,10,7.45
485,5,6,8,7,8,8,9,6,5,6,8,10,5,6,8,6,10,10,6,6,9,10,10,5,8,7,6,6,10,6,7,7,10,5,10,7,9,6,5,7,7,6,7,5,9,9,9,7.484375
486,8,9,9,8,5,5,8,6,7,9,10,7,6,8,8,8,10,10,9,7,10,6,8,10,7,5,8,8,8,10,7,5,10,5,7,8,8,8,6,10,8,9,6,6,6,10,5,7.215625
487,8,10,9,5,9,8,9,6,5,9,6,6,8,6,6,9,5,9,8,9,5,9,10,7,8,9,8,7,8,9,7,8,7,6,9,10,10,8,6,10,5,8,7,9,5,8,8,7.728125
488,7,9,5,9,5,8,8,9,5,10,5,5,10,10,5,8,7,10,7,7,7,7,5,6,5,5,9,7,6,5,9,6,7,8,9,9,9,7,7,9,5,6,9,6,9,9,8,7.421875
489,7,10,6,7,5,10,6,10,9,10,5,5,8,6,5,6,9,9,7,8,8,8,5,5,7,5,7,8,5,5,5,7,10,6,6,5,6,10,9,6,6,6,6,7,5,10,9,7.3875
490,5,5,8,8,5,8,7,10,7,5,5,5,8,9,8,5,8,5,9,7,6,6,8,10,8,6,9,10,5,5,10,6,5,10,8,6,5,6,9,5,7,10,10,9,10,6,6,7.24375
491,10,6,8,7,6,10,10,8,7,5,10,9,6,5,8,9,8,5,7,7,8,8,6,7,9,10,5,6,5,6,8,10,5,5,7,7,7,8,8,9,5,7,7,9,9,8,10,7.546875
492,9,9,5,6,9,10,10,5,8,9,6,5,5,5,7,10,8,6,9,8,7,5,7,7,9,9,9,7,9,9,9,7,7,10,9,10,7,9,10,8,5,5,10,7,9,5,8,7.621875
493,9,5,5,10,10,5,7,10,8,5,6,7,7,9,5,6,9,7,6,7,8,10,8,9,8,10,7,7,5,5,8,6,8,5,10,6,5,7,8,6,9,10,10,10,8,8,10,7.459375
494,8,5,9,9,10,10,8,9,5,9,8,7,7,6,6,7,10,5,8,7,9,7,6,6,8,8,5,8,5,8,9,7,6,6,7,6,8,7,7,9,5,5,6,7,8,6,6,7.240625
495,10,6,6,5,5,9,7,8,8,9,6,7,5,5,8,9,9,8,10,10,10,6,6,10,8,6,6,6,7,5,8,7,5,8,8,9,9,6,8,6,5,10,6,5,8,6,10,7.296875
496,6,6,5,6,10,10,5,8,5,5,9,8,5,5,7,9,5,6,6,5,8,8,8,5,9,5,10,7,8,10,9,8,7,7,10,6,5,10,6,7,9,10,10,6,10,9,6,7.25625
497,5,9,9,10,10,9,6,8,10,6,7,5,5,6,10,9,8,10,10,8,6,10,6,10,8,6,9,10,8,9,7,10,6,6,6,8,7,5,10,6,5,9,9,5,5,7,6,7.21875
498,7,5,10,7,5,9,10,6,10,7,6,9,10,7,8,5,10,8,7,10,10,6,7,8,10,9,7,7,7,5,9,9,7,5,6,8,8,5,6,8,9,10,7,8,8,7,7,7.41875
499,10,6,8,9,6,9,9,7,7,5,7,10,6,7,7,10,5,8,5,6,6,8,7,5,10,6,7,6,7,6,10,6,10,7,10,7,5,7,10,9,8,9,10,8,10,8,6,7.446875
500,5,7,9,7,10,6,10,5,10,9,6,7,6,5,7,8,7,10,5,5,9,9,6,9,7,10,8,8,5,10,6,10,9,10,8,7,7,5,7,7,6,10,8,5,6,8,7,7.396875
501,7,7,7,7,8,6,9,8,6,6,5,9,6,6,8,9,8,7,5,10,5,6,9,10,7,8,9,10,6,10,7,5,9,8,8,9,8,6,10,7,6,5,6,7,6,10,10,7.4125
502,10,8,7,5,8,5,6,7,5,10,5,8,10,9,5,5,8,7,7,7,8,6,9,7,10,5,5,6,6,5,9,9,8,5,8,10,8,10,5,6,9,6,8,6,7,5,6,7.15625
503,10,7,8,7,10,8,7,6,9,5,9,10,5,10,6,6,8,8,9,7,8,7,10,6,10,9,6,9,5,10,10,10,7,5,7,9,6,8,10,7,7,6,6,10,7,10,5,7.69375
504,10,9,9,5,8,8,10,5,9,5,5,7,10,5,9,8,9,6,7,10,6,9,10,9,5,5,5,6,8,8,8,8,7,10,9,6,10,8,5,7,7,9,10,10,6,8,8,7.6
505,7,10,10,8,9,6,7,9,9,6,8,9,7,8,10,9,7,6,10,9,7,5,10,6,7,8,9,8,5,5,7,7,9,5,8,10,9,10,5,6,6,10,6,6,7,8,5,7.5875
506,7,10,9,9,6,5,9,6,7,8,5,5,5,6,8,5,10,5,8,6,9,5,9,6,10,7,9,7,7,6,5,9,7,9,6,5,7,5,10,5,7,7,6,10,10,5,6,7.1
507,9,10,5,10,9,6,7,8,7,7,10,9,9,10,6,7,8,8,6,7,8,8,5,6,6,8,7,8,9,6,9,5,8,7,5,10,6,6,6,7,6,6,6,6,5,7,6,7.253125
508,6,10,5,5,7,5,7,5,7,6,5,5,9,10,5,7,10,5,10,5,7,5,8,8,8,8,8,10,9,8,7,6,8,9,8,7,9,8,8,5,9,9,6,5,5,10,6,7.296875
509,10,8,5,10,10,7,7,7,8,5,5,8,10,7,7,10,8,8,9,10,10,10,9,6,8,5,7,6,10,8,9,5,9,10,5,8,8,7,8,7,6,10,9,5,10,8,6,7.575
510,6,7,8,5,5,6,10,9,5,5,5,8,9,9,5,8,5,9,10,8,7,8,7,10,6,5,5,10,8,9,5,9,9,7,9,10,5,5,5,6,9,6,5,10,10,5,5,7.3625
511,5,10,6,10,7,6,10,10,10,7,9,10,10,5,6,5,8,6,5,10,10,6,7,7,10,10,8,10,10,8,9,7,7,5,5,10,7,7,5,7,5,8,8,6,8,8,8,7.625
512,9,7,5,10,10,5,6,7,5,10,8,7,10,6,7,5,9,6,5,5,10,8,10,10,10,8,6,5,9,5,5,7,8,10,6,6,8,7,10,8,10,7,10,7,8,8,9,7.7
513,5,5,8,6,6,8,10,5,8,7,8,8,7,9,8,8,6,6,7,10,7,6,8,6,5,5,5,5,10,6,9,5,7,7,5,6,10,9,5,9,6,7,5,7,7,6,10,7.053125
514,5,5,9,5,5,9,9,7,9,6,10,5,8,8,8,6,5,5,8,5,5,10,8,5,7,9,9,5,8,7,8,10,9,7,5,5,8,7,5,7,8,5,8,9,8,8,9,7.3
515,10,7,10,9,9,5,8,10,10,6,9,7,7,5,9,7,9,10,6,7,7,10,9,5,6,10,5,9,10,6,10,5,8,7,6,10,8,9,5,5,6,10,7,7,6,10,6,7.71875
516,9,5,6,5,7,7,8,10,7,6,7,8,6,5,10,5,8,5,10,6,5,9,8,5,5,6,10,10,7,6,5,5,10,5,9,7,9,10,6,7,5,6,9,6,5,6,5,7.275
517,8,10,6,10,5,8,10,5,7,5,8,6,6,10,8,10,7,8,9,10,7,6,6,9,8,9,7,7,6,5,8,5,10,6,10,5,6,9,10,7,10,10,6,6,9,5,6,7.51875
518,7,10,7,6,9,9,9,6,6,10,8,8,7,8,8,9,9,10,7,5,9,9,6,7,10,9,10,6,5,5,6,9,6,6,8,7,5,9,7,7,10,8,9,5,10,10,10,7.65625
519,9,10,8,5,9,7,7,6,6,7,7,10,6,8,6,8,8,7,7,7,5,7,8,8,10,6,10,10,9,7,7,8,5,8,10,9,9,8,8,7,6,10,8,6,9,8,8,7.80625
520,10,10,6,8,7,10,7,6,8,5,8,6,9,5,9,10,7,7,8,9,6,8,10,5,9,7,6,9,6,7,7,9,5,8,8,9,7,7,6,9,6,6,10,6,5,5,5,7.19375
521,9,9,5,7,10,10,6,10,8,6,6,6,8,6,6,6,8,5,10,8,8,8,8,8,6,10,5,6,10,9,5,5,9,6,5,5,6,7,8,8,10,8,10,10,9,8,10,7.78125
522,6,6,5,9,9,10,8,8,6,10,8,6,5,7,10,6,10,9,7,10,10,8,5,9,5,8,5,7,7,8,8,8,6,6,8,9,6,6,5,7,5,10,7,9,6,6,5,7.25625
523,5,7,8,8,9,7,6,10,6,10,8,7,5,5,10,5,6,9,5,7,6,7,7,8,10,7,7,9,5,6,5,9,5,8,8,5,8,10,5,10,10,8,5,7,10,6,9,7.11875
524,5,5,6,9,9,6,8,6,9,8,10,5,9,5,10,9,6,7,5,8,5,8,7,8,7,7,10,6,9,10,9,7,5,10,8,10,8,9,7,7,6,9,10,6,5,5,5,7.390625
525,7,8,8,6,6,7,10,5,10,9,6,10,10,7,7,8,10,6,10,6,5,5,9,9,8,8,10,10,6,6,7,8,7,9,7,7,6,9,10,6,9,7,5,10,6,5,7,7.75625
526,10,6,9,9,6,7,6,5,5,9,9,7,6,6,7,6,9,5,5,7,6,7,7,10,5,7,8,9,6,6,7,6,10,7,7,5,9,5,10,8,5,8,6,9,6,7,10,6.9875
527,5,7,10,9,9,5,10,5,8,10,7,5,10,10,9,7,5,7,10,5,9,9,7,8,5,8,6,6,6,9,6,7,7,6,10,6,5,6,6,5,8,8,9,6,7,8,10,7.396875
528,10,6,7,9,5,9,8,7,5,6,10,10,6,8,6,5,10,8,10,7,9,7,8,6,5,8,9,6,6,8,9,5,10,8,8,10,9,10,10,6,8,6,8,8,8,9,9,7.94375
529,5,8,8,10,10,8,5,8,5,5,5,10,10,8,9,9,7,9,6,9,6,6,10,7,5,6,10,9,6,10,6,10,10,7,8,5,7,9,6,7,8,6,8,6,10,7,8,7.671875
530,6,9,5,5,7,9,9,10,5,10,6,8,6,8,8,6,9,6,5,6,10,8,5,7,9,9,10,10,8,5,8,7,6,7,7,9,8,10,8,10,10,6,8,6,10,9,8,7.815625
531,6,8,8,8,9,8,9,7,7,10,10,5,9,5,6,9,5,8,5,8,10,8,6,8,5,6,5,6,6,6,9,5,6,10,9,7,7,10,6,10,10,8,10,10,9,7,5,7.43125
532,5,8,10,10,5,8,9,8,9,6,10,6,10,9,9,10,7,10,10,10,5,5,10,6,9,10,7,8,10,5,6,9,5,6,8,9,9,5,9,6,7,5,7,8,8,10,8,7.828125
533,9,7,9,6,6,7,8,9,8,10,9,5,9,6,5,10,8,7,5,8,9,7,7,6,10,6,6,5,6,5,10,8,8,8,7,8,6,8,8,5,10,8,5,5,8,10,6,7.078125
534,8,9,7,8,5,5,8,5,8,7,9,6,7,5,9,6,6,8,6,7,5,9,5,10,5,8,9,10,5,8,5,5,8,10,8,10,7,8,7,8,8,9,10,7,5,7,10,7.2125
535,5,6,7,10,6,10,8,6,10,9,9,8,9,7,6,6,5,8,6,5,8,9,8,6,6,6,10,10,5,9,7,9,9,10,10,9,5,7,9,7,6,5,5,5,8,8,5,7.584375
536,9,6,7,10,5,9,7,8,7,9,8,6,5,7,10,10,8,6,6,6,5,8,8,5,5,5,8,8,10,9,8,5,7,9,8,10,9,5,7,5,8,6,10,10,7,9,8,7.584375
537,9,7,9,9,9,8,8,6,7,6,6,6,9,7,7,7,8,8,9,9,7,9,8,5,10,9,7,10,10,8,6,10,10,5,7,8,6,7,10,6,8,5,7,5,7,5,5,7.459375
538,7,8,5,9,5,7,9,8,6,10,8,7,10,9,5,7,10,5,8,9,10,7,6,10,6,5,6,9,5,7,8,8,8,10,10,10,7,10,10,6,10,10,5,5,8,8,6,7.546875
539,7,10,7,9,6,10,5,8,6,9,8,9,7,6,10,10,7,10,9,7,8,6,5,7,6,8,9,10,10,6,5,9,8,6,7,8,7,6,7,7,10,9,6,5,9,10,8,7.853125
540,6,10,10,5,10,10,10,7,10,10,6,5,9,6,10,6,8,6,10,8,10,10,7,10,5,6,10,8,10,6,6,6,7,10,10,9,9,7,10,9,10,9,6,10,8,10,8,8.15
541,9,9,10,10,8,5,8,9,9,6,6,5,5,7,7,7,7,10,9,10,9,9,6,9,10,7,7,10,7,9,6,10,9,10,8,9,6,5,8,5,8,8,5,9,10,9,6,7.503125
542,5,10,9,8,9,9,5,9,5,9,5,9,9,5,9,6,6,8,7,7,8,9,8,10,10,8,5,9,10,7,9,6,9,9,8,5,6,7,10,8,6,5,9,6,9,7,6,7.434375
543,10,8,9,7,8,6,10,10,10,6,8,6,9,10,5,10,6,5,8,5,6,9,10,9,9,6,10,9,9,6,9,5,9,10,8,5,6,8,7,8,5,8,6,10,8,5,6,7.590625
544,9,10,10,5,7,5,5,9,7,8,9,10,10,9,8,9,10,5,7,9,9,10,8,8,10,8,8,5,5,8,7,8,10,7,6,8,9,5,7,6,6,7,8,5,9,5,7,7.528125
545,9,7,10,9,5,6,7,7,5,10,9,9,7,10,5,7,5,6,5,6,6,7,7,7,8,10,8,9,7,7,8,6,7,9,8,8,7,10,7,6,10,6,9,6,10,6,8,7.378125
546,5,8,6,8,8,8,8,8,9,9,6,7,5,8,10,5,8,6,6,10,6,6,9,5,6,7,7,10,7,5,5,7,8,7,10,10,6,5,7,5,6,9,9,10,5,10,10,7.353125
547,5,8,6,8,10,7,10,6,8,8,10,8,9,5,9,9,9,5,8,5,5,5,10,6,8,9,8,5,5,8,6,9,7,6,6,9,9,6,5,7,8,7,8,7,6,9,5,7.30625
548,7,10,7,7,9,8,7,10,8,10,5,5,10,8,9,8,5,5,9,6,5,9,9,8,8,9,8,7,10,8,8,5,7,9,7,9,6,7,10,9,9,5,7,6,9,6,7,7.571875
549,7,8,8,10,9,10,9,8,5,6,7,8,8,6,6,8,9,9,6,5,7,7,5,10,5,7,5,6,9,9,9,7,7,6,6,5,8,8,9,8,6,6,6,5,8,7,7,7.46875
550,6,10,6,6,6,7,6,10,9,5,5,8,10,10,10,10,9,8,5,6,7,7,5,10,6,6,10,6,8,6,6,6,10,6,8,7,8,10,5,6,5,9,6,7,8,5,8,7.275
551,7,8,7,7,8,5,9,6,10,7,10,8,7,6,10,8,7,5,10,9,9,7,9,6,10,5,9,9,5,5,5,9,8,7,8,9,8,8,6,9,5,10,7,7,9,5,8,7.46875
552,6,5,7,6,9,9,8,5,10,10,9,9,6,10,10,6,5,7,10,5,10,10,10,8,8,7,10,9,5,7,9,10,5,6,5,5,10,10,9,9,8,5,10,10,6,5,6,7.853125
553,8,5,7,6,5,5,10,8,8,6,9,6,5,5,8,7,7,5,10,7,5,10,5,6,9,9,7,5,7,6,10,8,9,9,7,6,7,8,6,8,10,5,9,9,5,7,10,7.228125
554,8,10,8,8,8,9,6,9,10,8,5,9,5,10,5,10,6,7,6,5,10,5,9,9,9,7,8,10,10,9,5,5,6,5,8,8,10,6,6,5,5,7,10,10,10,10,8,7.65
555,6,7,6,7,10,7,7,7,9,5,7,5,7,6,9,5,8,5,8,5,7,10,6,7,7,5,5,5,9,5,8,5,8,6,6,5,8,8,8,9,5,8,5,6,9,10,8,6.965625
556,5,7,9,6,9,10,9,6,10,6,10,9,5,6,10,9,10,6,8,6,9,6,8,5,9,6,6,7,10,8,6,10,5,6,5,8,5,5,8,6,6,10,5,10,7,5,10,7.409375
557,8,7,7,5,10,10,6,5,6,8,10,7,5,8,10,10,6,7,5,10,6,6,5,10,6,8,9,9,7,7,7,8,10,5,9,8,7,8,9,6,9,7,10,8,5,10,8,8.065625
558,7,8,5,9,10,8,7,5,9,5,10,5,9,10,7,7,7,10,10,5,6,8,7,6,8,5,6,6,10,5,8,7,10,9,10,5,9,10,7,10,6,5,5,6,10,7,9,7.790625
559,6,7,10,10,6,8,9,9,8,7,7,10,6,5,7,10,9,9,6,7,9,6,10,10,5,9,6,6,9,10,7,7,6,8,7,10,10,5,6,6,8,5,9,6,5,6,6,7.509375
560,10,6,9,7,10,5,10,10,10,6,7,8,8,7,8,8,5,7,9,10,7,9,7,5,9,9,10,5,8,9,6,9,9,8,6,9,8,8,10,9,8,10,10,10,5,5,6,7.896875
561,9,6,7,5,9,5,10,10,8,5,10,5,10,6,5,6,9,7,8,9,7,9,7,9,10,5,9,5,5,6,9,7,9,6,7,5,8,7,7,8,8,8,5,7,9,7,9,7.36875
562,6,5,6,8,5,8,9,5,5,10,10,5,8,7,5,8,6,10,6,8,7,8,6,9,7,8,9,6,8,9,10,10,7,10,9,5,8,8,9,10,7,8,8,8,9,10,10,7.65625
563,7,9,5,9,5,9,5,6,9,7,5,10,6,5,7,8,5,9,5,10,10,7,6,6,9,9,8,9,6,5,8,8,6,7,5,5,7,7,10,9,10,8,6,9,9,8,7,7.340625
564,8,5,10,7,10,5,9,8,7,10,5,8,7,10,7,6,5,9,5,9,6,6,6,10,9,5,10,9,10,8,7,10,5,6,6,7,8,10,7,8,10,7,7,6,10,5,5,7.421875
565,5,8,6,5,7,7,10,7,6,10,7,8,6,5,8,5,10,8,10,7,9,7,5,7,7,10,6,7,10,10,6,5,8,7,8,10,6,5,7,6,8,10,5,7,7,5,9,7.515625
566,9,9,10,6,6,5,8,8,7,10,7,9,6,5,6,6,5,7,5,6,8,8,9,6,8,6,6,10,9,8,7,9,10,6,7,8,8,8,5,8,5,9,9,5,7,7,7,7.26875
567,6,9,10,5,7,10,6,6,7,5,6,6,10,6,8,8,7,6,8,8,10,5,6,10,10,6,5,6,10,10,10,9,6,9,9,8,7,9,5,7,7,8,10,7,6,5,8,7.475
568,7,10,9,8,9,10,6,10,10,8,10,5,7,7,5,6,8,7,6,6,9,9,5,6,7,9,6,8,9,8,10,9,9,5,9,5,6,7,5,10,5,5,6,7,5,5,7,7.403125
569,6,6,6,7,9,7,10,9,5,5,8,7,5,5,8,9,8,8,8,5,9,7,10,10,7,5,9,8,9,5,7,7,9,5,6,9,7,6,10,10,10,9,8,8,9,8,6,7.41875
570,9,5,9,10,10,5,7,5,5,9,6,10,10,10,7,7,5,5,8,10,10,8,5,5,7,5,7,6,9,7,9,10,6,8,6,6,8,9,5,9,7,5,8,9,10,10,5,7.35
571,7,9,5,7,10,7,10,5,6,6,5,7,5,7,6,7,5,6,5,6,10,5,6,5,8,6,5,7,7,6,10,7,10,7,8,10,6,7,7,10,7,5,8,9,9,10,6,7.153125
572,6,9,10,6,6,10,10,10,6,5,5,9,5,10,7,8,9,7,8,8,6,5,8,10,10,6,8,5,8,6,5,9,8,7,6,9,6,7,7,9,9,6,7,10,8,7,6,7.3
573,5,9,9,8,9,9,9,10,6,10,10,6,7,8,7,5,7,9,8,8,6,7,6,8,10,6,9,10,7,9,6,9,5,9,9,10,9,9,8,6,10,6,7,10,9,6,7,7.775
574,9,5,9,8,7,7,7,5,10,8,7,8,10,8,5,5,5,9,5,10,6,10,5,5,5,9,6,7,6,5,8,9,9,10,10,5,10,8,9,7,9,9,6,8,9,7,8,7.39375
575,8,10,10,5,5,9,10,8,9,6,5,7,7,7,6,10,9,5,8,9,8,10,6,8,8,6,7,6,7,9,6,8,9,6,5,8,7,10,5,9,7,8,9,6,9,9,6,7.5625
576,10,8,10,5,10,7,9,7,6,6,6,9,9,6,9,9,10,7,9,5,7,10,10,5,5,10,5,6,8,6,9,7,8,10,5,9,9,5,10,6,8,8,8,9,5,9,8,7.68125
577,6,8,9,5,10,6,7,7,5,7,5,5,6,7,10,6,9,10,9,10,5,10,8,8,8,6,5,9,8,8,8,5,10,7,6,5,9,9,7,6,8,5,7,8,5,9,5,7.328125
578,5,6,5,9,10,6,10,5,6,8,9,10,10,6,6,7,10,6,5,6,7,5,9,10,8,8,10,10,10,8,5,7,5,6,6,8,8,8,7,5,8,9,8,7,9,10,10,7.73125
579,5,5,9,5,7,9,5,8,10,6,5,6,7,6,5,10,10,7,5,5,7,5,5,9,9,6,8,8,6,6,5,9,6,6,5,6,5,5,6,5,8,6,5,7,7,9,10,6.740625
580,9,7,10,10,8,5,7,7,10,10,9,10,10,9,10,8,9,7,7,6,9,9,8,6,6,7,5,9,10,5,10,7,8,7,8,5,10,7,10,7,7,10,7,5,9,7,10,8.003125
581,8,8,9,5,5,5,8,8,7,8,8,6,9,9,6,10,10,9,8,6,9,8,5,8,6,9,6,10,6,7,9,6,9,8,8,6,9,6,6,5,9,10,9,7,6,7,7,7.440625
582,5,10,6,10,9,9,5,6,10,8,9,5,5,6,10,10,7,10,10,5,8,9,7,8,9,7,6,7,8,5,8,5,9,9,9,6,8,10,7,10,10,5,7,7,6,7,8,7.665625
583,10,8,8,8,8,8,6,9,8,7,9,8,7,9,6,9,9,8,6,10,5,5,7,7,10,6,9,5,9,10,8,8,5,9,10,7,10,10,6,5,5,7,6,9,6,9,9,7.6625
584,9,5,7,5,9,10,7,8,10,7,6,9,9,8,7,6,9,5,9,5,7,6,10,7,7,6,9,9,7,10,6,5,10,9,5,9,6,5,8,10,8,6,9,8,10,10,8,7.7625
585,6,9,6,9,8,9,10,6,6,9,8,9,5,7,8,8,10,7,7,9,9,7,6,5,5,10,9,9,7,9,8,5,5,8,7,10,5,5,7,5,8,5,9,6,10,6,9,7.76875
586,6,8,8,6,8,5,9,6,6,9,8,7,8,7,10,5,7,9,8,6,9,8,9,7,7,9,6,7,7,5,10,7,10,5,6,7,10,9,10,5,9,7,5,6,9,7,10,7.490625
587,8,5,5,5,6,7,5,10,5,7,5,5,5,5,10,7,7,9,10,5,9,10,7,7,7,6,10,10,6,9,9,7,10,10,8,7,7,8,7,8,10,9,9,9,10,6,10,7.478125
588,7,6,6,10,9,9,10,5,8,10,10,10,6,9,9,7,9,7,5,10,8,8,5,5,8,6,8,5,9,10,10,9,7,5,10,9,5,9,7,7,10,10,7,6,5,6,8,7.771875
589,5,6,9,7,10,6,6,6,7,10,7,7,8,10,5,6,6,6,7,10,6,10,7,5,5,10,7,5,6,6,9,5,8,10,7,9,8,5,9,6,10,6,9,7,7,8,7,7.46875
590,5,7,8,10,6,5,7,7,5,9,9,7,10,8,7,8,7,10,8,6,9,5,7,7,5,7,7,10,7,8,7,9,7,8,8,5,8,7,5,5,8,7,10,9,5,9,10,7.46875
591,9,9,7,9,10,7,6,5,5,9,9,10,8,6,8,6,10,7,7,5,9,6,6,10,7,5,7,6,8,8,7,9,10,9,9,5,6,5,8,6,7,8,9,5,5,5,7,7.396875
592,6,10,8,10,6,5,10,7,8,7,10,9,10,9,10,7,5,7,9,10,10,5,7,8,9,6,8,7,7,5,10,8,10,6,9,6,5,10,5,7,7,6,6,5,6,10,7,7.5875
593,9,7,8,7,6,7,6,8,5,9,8,5,8,7,6,7,10,7,7,8,9,8,5,6,5,6,6,9,9,5,5,7,9,8,6,5,8,9,9,6,9,5,7,8,6,10,6,7.2375
594,5,7,6,6,9,6,8,5,5,7,9,5,7,8,7,7,8,8,8,7,5,9,8,8,8,10,9,9,9,9,6,9,6,9,9,9,6,6,10,8,8,8,7,10,6,6,5,7.603125
595,6,6,9,9,6,5,9,5,9,8,7,6,9,6,5,9,10,8,6,5,6,7,6,10,7,10,9,7,9,9,6,5,9,6,5,6,5,9,10,10,9,9,5,10,6,9,7,7.315625
596,7,6,9,8,10,10,8,7,9,9,10,9,9,10,8,5,10,9,5,6,9,7,8,5,9,10,5,6,7,10,6,5,9,9,7,8,5,8,8,8,8,6,7,10,6,10,8,7.878125
597,6,10,6,7,9,5,8,8,7,6,5,6,7,9,9,10,10,5,9,10,5,10,8,7,6,10,5,8,6,6,8,6,5,9,8,10,7,9,5,7,7,10,6,10,10,7,7,7.471875
598,6,7,5,10,6,5,8,6,10,9,10,7,5,7,8,8,10,7,5,9,6,10,9,6,7,8,6,5,6,7,6,9,9,6,5,10,6,5,8,6,7,9,8,7,8,10,6,7.059375
599,10,6,6,8,10,5,10,8,8,10,5,9,9,7,7,6,8,10,5,10,6,7,7,9,10,5,10,5,10,8,5,9,9,5,9,9,6,7,6,9,5,7,10,5,9,8,8,7.36875
600,9,10,9,7,8,5,10,6,5,9,10,5,7,6,9,6,7,9,10,7,6,5,5,5,8,8,7,7,8,9,9,9,9,5,6,5,10,10,5,8,9,6,7,8,8,6,5,7.49375
601,9,8,5,7,5,9,8,5,5,7,6,6,9,6,6,10,6,8,6,5,7,6,9,6,5,9,8,10,5,9,7,7,6,5,6,6,8,10,6,7,7,5,9,8,9,5,10,7.5
602,6,7,6,5,8,10,7,9,6,9,8,6,6,8,9,9,9,9,5,9,8,9,8,10,9,6,6,10,6,8,10,8,8,8,10,7,10,7,5,10,5,6,9,5,9,6,6,7.425
603,9,5,6,9,5,5,8,5,10,8,5,10,9,6,9,5,8,5,8,7,5,10,5,8,5,5,8,9,6,8,10,9,10,7,5,6,10,5,9,6,7,6,5,7,7,5,5,6.84375
604,9,9,5,6,9,7,6,7,7,8,5,9,10,7,9,5,8,7,10,10,10,7,5,9,7,9,7,7,9,5,5,6,9,7,6,5,7,5,6,5,5,10,9,7,10,10,6,7.48125
605,9,6,10,6,5,8,6,9,7,5,9,5,10,8,8,7,10,9,8,9,7,9,6,8,9,5,6,10,8,5,8,7,6,7,6,6,9,5,5,10,6,6,8,7,5,10,6,7.4125
606,7,5,8,10,6,9,6,6,9,7,7,9,8,10,9,9,9,5,9,5,7,10,10,10,8,8,5,10,9,10,10,5,8,10,5,7,7,7,10,5,10,7,9,9,6,7,9,7.7875
607,5,9,8,8,10,10,6,6,10,10,10,6,5,5,8,8,9,10,8,8,9,7,7,6,10,10,10,6,10,5,6,6,6,5,5,6,6,5,10,5,10,10,8,8,8,6,8,7.6875
608,8,10,6,9,10,7,6,8,10,10,8,10,9,10,5,10,6,8,8,6,5,9,9,8,9,5,8,9,9,6,6,7,5,5,8,7,6,5,7,8,7,10,5,5,8,7,8,7.4125
