No,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer Networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,4Predictive Analytics,4Web and Social Media Analytics,4Professional Elective - 4,4Professional Elective - 5,4Open Elective - 2,4Web and Social Media Analytics Lab,4Mini Project ,4Seminar,4Project Stage - 1,4Organizational Behaviour,4Professional Elective - 6,4Open Elective - 3,4Project Stage - 2,CGPA
421,B,O,O,B+,O,B,B,A+,O,O,O,A,A+,B+,A+,B+,B,C,A+,O,B+,B,B+,C,B+,A,C,B,B,C,A+,B+,O,B+,C,A+,C,A,B,A+,C,B+,A+,C,O,A+,C,B,O,O,C,A+,A,B,A,C,A+,A,B+,A+,7.446875
422,A,B+,A+,B+,C,B,C,A,O,B,C,B,C,O,A,A,C,B,C,A+,A,A,A,O,O,A+,B,O,B+,O,A,C,A,O,B,A,B,C,B,A+,C,C,B,A,B,B,O,B,C,A+,O,O,A,A,A,C,B,B+,A+,C,7.1
423,B+,A+,A,A,B,B+,A,B,A+,A+,A,C,C,B,B+,A,A,A+,B,O,B,A,O,A+,C,O,B,A+,B+,B+,A+,B,B+,C,B+,A,B+,A,B,A+,C,B,O,B,A,C,C,A+,B+,C,A,B,A,B,B+,B,A,B,C,A+,7.115625
424,B+,B,A,A,O,B,A+,A+,C,B+,A+,B+,A+,A,A,O,B+,A,C,A,A,B,B,A,O,B,O,A,C,A+,C,C,B+,A,B,O,A,A,O,C,B+,C,B,O,A+,B,A+,A,B+,B,O,C,C,A,A+,B+,C,O,B+,O,7.703125
425,O,A,A,A+,B+,B+,A,B,B+,B,O,A+,O,B,B+,O,B+,C,O,B+,B+,O,A+,C,O,C,B,A,A+,C,C,B,O,A+,A+,A+,B+,C,O,A+,B,B+,A+,C,B+,C,B,A,C,B,C,C,C,A+,A,A+,B+,B+,O,A,7.48125
426,B,B,A+,A,B,B+,B,A,A,A,A,O,O,B+,A+,A,A,A,O,O,A,A+,C,C,A,A+,O,B,C,C,B,A,O,A,B,C,C,C,B,A+,A+,B,B+,C,O,B+,A+,A,C,A+,O,A+,C,B+,A+,C,A,O,C,O,7.61875
427,C,B+,C,B,A,C,C,B+,A,C,B,O,A+,A,B+,A,B+,B+,C,A+,A,C,B+,A+,B,C,B,B+,A,O,O,B+,B+,C,B+,B+,O,B,A+,O,O,A,B,O,A,O,O,B,C,A,B,A+,A,B,O,B,A+,B,A,C,7.253125
428,O,C,A+,A+,A,B,A,O,A,A,C,C,O,C,O,A,C,A,B,O,A+,B+,B+,B+,B+,B,B+,B+,A,C,A,O,B+,A,A+,O,O,O,B,A+,C,B,A,O,B+,B+,C,B,B+,O,O,C,A,B+,O,A+,B,B,A,A+,7.55625
429,C,B,A,B,C,B+,A,A+,B,O,B+,C,O,B,C,C,B+,A+,C,A+,A+,O,A,A,A,C,O,C,B,A,B+,A+,A,A,C,A+,O,B,B+,B+,A,A,A,A+,O,A,C,B+,A+,B,O,C,O,A,B,B+,B+,B,A+,B+,7.296875
430,O,A,O,C,C,B+,A+,O,B+,C,O,B+,B,O,C,O,B+,A+,A+,B,O,C,A,A+,B,B+,C,B,A+,A+,A,O,O,O,A+,B,A+,A,A,A+,A+,C,A,O,O,B,C,A+,C,C,A,C,A+,B,O,C,C,B,O,O,7.684375
431,O,A+,A,O,O,O,A+,A+,B,B+,B+,B,A+,A,O,B,C,A,B+,A,B+,B+,C,A+,A,A+,B+,C,B+,B,A+,C,A+,A,B,A,B,A+,A+,C,B,B,A,B+,B,B,B+,B+,O,B+,A+,B,A,B,C,B,B+,B,C,A,7.36875
432,B+,C,A+,B,O,A,A,A+,O,C,B+,B+,B,B+,B,B+,A+,B,O,B,C,C,B+,B+,O,A+,O,O,B,C,C,C,C,C,B,O,B+,B,C,B+,A,B,B,B+,O,O,A,B+,B,O,A+,A+,C,A+,B+,O,O,C,B+,C,7.41875
433,B+,B,A,A+,A,O,B+,O,B+,A,C,A,B+,A+,C,B,O,O,A,C,O,A,B,C,B,B,B,O,B,B+,B+,A,A,B,C,B,B+,B+,O,B,C,B,O,B+,B+,A,A,B+,A,B+,O,B+,O,A,A+,A+,A,O,A+,O,7.775
434,B,A+,A,C,C,B,C,C,B,A,C,B+,A+,O,A+,C,O,A,B,B,A+,O,A+,C,B,B+,A,A,A,B,O,C,O,A,B+,B+,C,B+,O,A,A+,C,A,B,C,B+,A+,B,O,B+,A+,C,C,A+,C,A,B+,A,C,A+,7.28125
435,A,A+,B+,A,C,B+,O,C,A+,A+,B,B,B,O,A,B,C,C,O,B+,B+,A,O,B,A,C,B,A+,A,C,A,O,B,O,O,B,B,A+,A,C,A,B,A+,B,A+,B,A+,A+,A,A,C,O,O,B,C,B,B,C,A,C,7.20625
436,B,O,O,A+,B+,O,C,C,B+,O,A+,B,A+,B+,C,O,B,A+,A,O,O,A,A,O,C,A+,A+,C,C,B+,A,C,O,A,C,B+,C,A,C,C,B+,B+,B+,A+,B,A+,A,O,C,B+,A+,A+,O,B+,B,B+,B,A+,C,C,7.375
437,A+,C,C,A,O,A+,O,C,A,C,A+,A+,C,A+,B,B,C,C,B,A,B+,B+,A,C,A,A+,A,B,O,A,A+,O,B,B,B+,C,C,C,O,A+,B+,A+,A+,A,B+,B,B+,O,O,C,B+,B,B,A+,O,O,C,C,O,B+,7.396875
438,A,B,A,C,O,A+,A,A+,B,O,O,C,A,C,B+,O,A+,B,C,A+,B+,A,O,B+,C,O,B,A,A,B,B+,C,A+,B,A+,B,A,B,B+,A,B+,A+,O,A+,B+,O,B,C,C,B,B,C,O,A,B+,O,C,O,B+,O,7.609375
439,B+,B+,O,B,B,A,A,A,A+,B+,A,B+,A,B+,A,B,B+,O,A+,B+,A,B+,A,O,B+,A+,B,B,A,O,B,A,A+,C,A+,O,A+,C,A+,B,C,B+,B+,C,A+,B+,C,A,O,B+,O,A+,A,A,A,C,C,A,B+,O,7.621875
440,B+,O,O,O,A+,B,B,B,O,A,O,O,A+,O,B+,A+,C,O,B,A+,O,B,B+,O,B,O,A,C,B,B,A+,A,B+,O,A+,B,O,O,A+,O,B+,B,O,B+,O,A,O,A+,C,A+,B+,B,C,B,C,A,A+,C,B+,A,7.98125
441,O,C,B,A+,C,A,B,B,A,A,O,C,A+,B+,O,B+,C,O,O,B+,B,A,C,B,C,B+,B,O,B+,O,A+,B+,A,C,O,A+,C,C,B,A,A+,A,A,A+,A,B,B,B+,O,O,A+,B+,A,O,O,A,A,A,B,B+,7.55
442,O,B,A,B,A+,A,B,A+,A,C,O,C,O,B,B+,B,B,C,A+,A,C,B,O,A+,B,B,O,B,A+,B+,B,A,B,A,A,O,C,B,B,A,A+,A+,A+,A,A+,A,A,A+,A,A+,B,O,B,A+,A+,O,O,B+,B,B,7.615625
443,B,A,B+,A+,B,B,A,B,C,B,C,B,B+,B+,A+,A+,C,B,A,C,B+,A+,B+,A,A,A,B,B+,A,A+,B+,B,A,B,B,B,A+,B,C,A,B+,A+,O,A,O,O,A,B+,A+,C,A,C,C,O,O,C,O,C,A+,B+,7.171875
444,B,A,A,B,A,B+,A+,B+,O,A+,B+,B+,A+,A,B,A+,B+,B+,B,C,O,A,B,B,B+,A,B,C,A,B,B,B+,O,O,A+,A,B+,A+,O,B+,B,O,B+,O,A,B,B+,C,O,B+,O,C,O,A+,O,A+,C,B,B+,B,7.471875
445,B,O,B+,B,B,B+,O,B,C,B,B+,A+,C,B+,B+,A,B,A+,B+,B,C,A+,B+,A,A,B,B,A+,C,B,C,B,C,A+,B,A+,A+,O,O,A+,B+,B+,A,A,O,A,A+,B,A,O,A+,C,C,A,C,A+,A,C,A+,B,7.3875
446,C,O,A,B+,A,A,A,B,B,B,B,A,B,C,B+,B,B+,B+,B,A+,A+,A+,O,A+,A+,O,B+,A+,B+,A,B,B,A+,A+,B,A+,O,B,A+,C,A,A,A+,A+,B,B+,A+,B+,C,O,B,A,O,B,B+,A+,B+,O,A,A,7.690625
447,C,C,B,C,C,B+,B,A,O,B+,C,B+,O,A+,B+,O,A+,A+,A,B,B+,A,B+,B,O,A,A+,O,O,A+,A,A,C,A+,A+,B+,A+,O,O,C,C,A,A,C,A+,O,A+,C,B,B,B,C,A,B+,B+,A+,A+,B,B,C,7.50625
448,B,A+,B,A+,C,A,O,O,A+,C,B+,C,B+,O,O,O,A,O,C,C,A+,A,O,A,C,B+,O,A,O,B+,A,A+,A,B+,B,O,A+,B,O,O,O,O,A+,O,C,B,O,C,A+,C,B+,B,B,O,C,O,O,A,B+,O,7.909375
449,C,B,C,B,B+,A,O,A+,B,A,B+,O,B+,C,A,B+,C,O,O,C,O,B+,A,B,A+,B,O,A,A,A,O,B+,C,C,O,B+,A+,B+,A,B+,B,A,C,B+,A,C,A+,O,B,A,C,O,C,B+,B+,O,A+,B+,B,B,7.4875
450,C,B,A,B,B+,A+,O,B+,B,C,C,B,A,B,B+,O,A,O,A+,C,A+,A,O,B+,O,B+,B,A,A+,A+,B+,C,B+,A,C,B,C,B,A+,B+,A,B,A,O,A,A+,B+,A,O,A+,A+,B+,A,B,A+,A+,A+,A+,C,B+,7.59375
451,C,O,A,B,C,B,B+,C,B+,A+,B,C,B+,A+,B,O,A+,A,B,A,B,O,C,B+,C,B,B,B,B+,B,C,B,A,B,B+,A+,O,A+,B,A,B,O,B,O,B+,O,B,O,O,B,A+,A+,B,A+,B,A,C,O,B,B+,7.240625
452,A,A,A+,C,A,O,A+,B+,A+,A+,B+,B,A,A,B,A,A,C,A+,C,B,A+,C,O,B,A+,A+,B,B+,A,O,O,A+,B+,C,A+,C,A+,C,B,B+,O,B,B+,C,O,O,C,A,A,C,A,C,B+,O,B,B,C,B+,O,7.484375
453,A+,B,B+,B+,A+,O,A,A+,A+,B,A+,O,C,A,A,B,B,B,A,A+,A,C,C,B,C,A+,A,C,A,A,B+,A,B+,A+,O,O,C,O,B+,C,B+,C,A+,B+,B,B,C,B+,B+,B,A,A,O,A+,O,B+,C,A,B,A+,7.521875
454,C,C,A,A,B,A,O,O,B+,A,O,A,B+,B,C,A+,O,B+,B,A+,B,B,B+,A,O,A+,B,O,A+,A,C,O,O,B,B,A,A,A+,C,C,B,O,C,C,C,A,A,O,O,O,C,B+,A+,B+,A,B+,B+,B,O,O,7.621875
455,A,C,B+,A+,A,C,C,B,B+,C,B+,B+,C,C,O,O,C,C,B+,A+,B+,B,A+,O,A+,A+,O,A,A+,A,B,A+,B+,A,B,A,O,C,A+,O,A,O,C,A,O,O,B,B,C,A+,O,C,B+,O,A+,A,B+,C,C,A+,7.390625
456,A+,B+,A+,B,O,O,O,B,A,O,O,C,B,B,A,B+,B+,A,B,B,C,B+,O,B+,B,A,C,C,O,B+,A,C,O,O,O,O,C,O,O,C,A,B,C,C,B,B,A+,O,C,C,C,A+,A+,A+,O,B,A,B+,O,B,7.440625
457,A,O,A+,A,A+,O,C,B+,O,A,A+,C,B,A+,B,O,O,C,O,A+,A+,C,A,B+,C,A,A+,B,B,C,A+,C,O,O,A+,B+,A+,O,O,B,C,B+,A,O,A+,A+,A+,C,A+,A,B,C,A,C,A+,A,O,C,C,O,7.853125
458,C,A,A+,C,B,B+,B+,B+,A,B+,O,C,B,B,B+,O,A,B+,O,B+,A,C,B+,A+,C,A,O,C,A+,C,A+,A,A,A,O,B,O,A,B,B+,B+,B,B+,A,B,O,B,O,O,B+,O,B+,A+,B+,B+,A,B,B,C,A,7.415625
459,A+,A+,A,A+,B+,A,A,B,A,O,A+,O,B,B,A,A+,C,B,B+,A,C,A+,O,B+,B,A+,O,O,A+,A+,C,A,A,B+,B,B,A+,A+,B+,O,C,B+,O,A+,A+,C,B+,A,A,O,A,A+,O,A+,O,A,C,B+,A+,A,7.89375
460,B+,B,O,O,O,A,O,A,C,A,A+,O,O,A+,B+,B,O,O,B,A,B,B,O,B,B+,A,B+,B+,B+,B,C,B+,C,A,A+,A,O,A+,B,B,B+,B+,C,A+,C,B+,C,B+,A+,B+,C,B+,A+,C,C,A+,A+,A+,O,A,7.715625
461,O,A+,A,A,B,A,A+,A+,C,A+,A,O,C,B,C,B+,O,A+,A,A+,A+,B,A+,B+,C,B+,A+,O,B,C,A,C,C,A,C,A,B+,A+,C,C,B+,C,A,A,A,B+,A+,A,A,A+,C,A,O,A+,B+,C,A,A+,A,B,7.509375
462,A+,O,O,A,C,B,A+,B,B,A,O,B,O,A+,B,B+,O,C,B+,B+,A+,A+,B+,C,C,A,A+,O,A+,A+,B+,O,B,O,B,O,C,C,B,A+,B,A+,B+,O,A+,B+,O,A,A+,A,B+,A,A,A,A+,B,A+,B,B+,O,7.934375
463,A,B,C,A,B,B+,A,B,B,A,A+,A,O,O,B,C,A+,A+,A,A+,O,B+,A,A+,B+,A+,C,A+,B+,O,B,A,A,B,O,O,C,C,O,C,A,B,B,A,B,B,O,O,A,C,B+,A+,B+,A+,A,A,B+,B+,C,O,7.803125
464,A,B+,A,B,A+,A+,B+,O,A+,B+,O,B,B,A,C,A,B+,C,C,C,C,B,A+,A+,A+,C,B,C,C,O,B,B,B+,B+,O,O,A+,O,B,C,A+,A+,B+,B+,B+,C,A,A+,A,A,B,B,A+,C,B,B,A,A,A,A+,7.284375
465,C,A,C,O,B,B,O,B+,C,C,C,B+,A+,C,O,B,B+,O,A+,B,B,A+,B,B+,A+,B+,A+,B,A+,B+,C,O,B+,A+,A+,A,B+,O,A,A+,A+,B+,A+,B+,A,A+,C,C,O,A,B+,B,B,A+,A,B+,C,C,B,B+,7.315625
466,A+,A,A+,C,A,B+,B+,B+,B+,B,C,O,A,A+,O,C,A,B+,C,B+,O,B,A,O,O,C,B,A+,C,A+,B,A+,C,B+,A,B,A,C,B,O,O,B+,C,C,O,B+,A,B+,C,B+,O,B+,B+,B+,C,A+,B+,A+,O,A,7.396875
467,C,A,C,B,B,C,A+,A,O,B,A,A,A+,A,C,O,B,C,C,C,A,C,C,A+,A+,O,B+,C,C,B+,C,C,A,B,O,C,O,B,B,B+,B,C,B,A+,A,B,B+,B,B,B,B+,B,A,O,B+,B+,A,B+,B,A,6.95
468,A+,B+,O,B,A+,C,A+,C,A,A,O,A,A+,A+,B,B+,B,C,B+,C,C,A,C,O,O,A+,A,O,A,A,C,O,B,C,B,A+,O,A,A+,C,B,C,B+,B+,O,B+,O,O,O,B,O,C,A,O,O,B+,A,O,A,B+,7.803125
469,A,C,O,C,B+,C,A+,A,O,A+,O,B+,B,A+,B+,O,B,B,B,A+,B+,B+,A+,A,B,C,A,C,B+,O,B,B+,A+,O,B,A,A,A,O,A,O,A+,A,B+,A,C,O,B,A,C,B+,B+,O,A,B+,B,B,B+,C,A+,7.39375
470,B+,A+,A,B,A+,O,O,B+,A+,B+,A,O,B+,O,O,O,B,O,C,C,C,O,A,B,B,A,B,B+,A,C,O,B+,B,B,C,A+,B+,C,B+,A,B,O,B+,A,O,B+,B+,B,C,B+,O,C,O,B+,A+,A,C,B,O,A+,7.559375
471,A,C,B+,A+,A+,B+,B+,B+,B+,B,B+,O,C,O,A+,A+,C,A+,A,B+,A+,B,B+,A+,B,O,A+,C,B,A+,A+,O,B+,A+,C,B+,B,A+,A,B,B,A+,O,A+,O,A,B,O,A,C,B,C,C,A,A+,C,A+,C,A+,A,7.5625
472,B,A+,O,A+,B,B,A,A+,B,O,C,O,B+,B+,O,A+,C,C,B,B+,C,B+,B+,B+,A+,O,C,A+,A+,C,A,A,B+,O,A+,A,C,C,C,O,O,A,C,A,O,O,B+,B,B+,C,B,A,O,B,A+,O,B,B,A,B+,7.284375
473,C,O,O,A+,B,O,B+,B,A,A,O,O,A,A,C,C,B,O,A,A+,B,C,O,B+,B+,C,A,A,B,O,B,B+,A,O,A+,A,C,O,A+,B,A+,C,A+,C,O,B+,A,O,B+,C,B+,A,A,B+,B+,C,A+,A+,A+,A+,7.775
474,O,B,C,C,B+,A+,A,O,B,B+,A+,B,B+,B+,B+,B+,C,A+,A,B+,B,B+,O,A,O,B,B+,B,B,C,A,O,B,B,A,O,A+,O,B+,B+,C,A+,B,B,A+,B,A,B,B,A,O,B,C,B,B+,O,B+,C,B+,B,7.234375
475,O,C,A,A,B,B+,B+,O,O,B,C,B+,C,C,B+,C,C,A+,A,B,C,O,A+,A+,O,A+,B+,B,B,B+,O,C,O,A+,B+,A+,B+,O,A+,C,A+,B+,O,A+,A+,B,B+,B+,A+,A,B+,A,B,B+,A+,C,A+,C,A,B,7.334375
476,C,C,O,A,C,C,A,A+,A+,A+,O,A+,C,C,A+,A,B,A+,B+,O,C,B+,O,C,B+,C,B+,C,C,B+,A,B,C,B,A,C,O,A+,B+,A+,B+,C,O,O,B,A,A+,A,C,B,O,B+,C,A+,B+,B+,O,O,C,B,7.221875
477,A+,O,B,B+,O,B+,B,A+,A+,C,B+,A+,A,C,C,O,B,A+,B+,B+,C,B+,A+,C,C,O,O,O,A+,C,C,C,C,A+,A+,B,O,A,A+,B,O,O,B+,O,C,O,B,C,A,O,B,B,A+,O,A+,C,O,O,O,O,7.91875
478,A+,B+,A,A+,O,C,B,B,B+,A+,B,B+,B+,A+,O,B,C,O,B+,A,A,O,A+,C,O,A,O,B+,C,B,B+,B,B,B+,O,O,C,C,B,A,O,O,B,O,O,B,A+,C,O,C,B,A+,A+,B,A,C,A+,A+,A,B+,7.496875
479,A+,O,B,O,C,B,A+,B+,C,B,C,B,B,A,A+,B,O,A,B+,B+,B,C,B,C,A+,A,A+,O,B+,O,A,A,O,B+,A+,A+,B+,C,A,O,B,C,O,O,A,B+,O,A+,A,B+,O,A+,B,A+,O,A+,B,B,B+,C,7.56875
480,B+,C,A,B+,C,O,C,A+,C,A,A+,B+,C,A+,C,B+,A+,B+,O,O,A,O,B,B+,B+,A,B,A+,O,A,B,O,O,A+,C,B+,O,A,A,B+,B,A+,O,O,B,B,A,B,O,O,A,A,A+,A,C,A,B,A+,B,A,7.803125
481,A,B+,A,C,C,A+,A+,A,B+,B+,A+,A,O,C,B,A+,B+,O,B+,B,B+,B+,A+,A,B,B+,A,B+,B+,A,A+,O,C,O,B+,B+,B+,B,C,B+,A,A,A,B,O,B,B+,C,A,A,A+,A,B,C,O,A,B,C,C,B,7.259375
482,A+,B+,C,C,O,C,B+,O,C,B+,B,C,A+,B+,O,C,O,B,A+,A+,O,B,O,A,B+,B,A+,B,O,A+,B,B+,A,B+,O,B+,O,C,B,A+,C,B+,B+,A,C,B,O,C,O,O,C,B+,B,O,C,A,B,B,C,B,7.334375
483,B,B,C,O,A,C,B,A,A,A+,O,A,B+,A,B,B,C,C,B+,A+,A+,A,A,B,B,A,C,B,B+,A+,B,A,C,O,C,C,B+,B,B,C,C,A,O,C,B+,A+,A,B,A,B,A,A,B+,A+,B+,O,B,O,A,B+,7.20625
484,A+,B,A,A+,A,B,C,C,O,B+,B,C,A,O,C,B+,C,A,B+,B,A+,B+,A+,C,A,B,A+,A+,A+,A,B+,B,O,B+,B,O,B,O,B,B+,A,O,B+,A,B,O,O,A+,C,C,A,B,C,C,O,A,O,C,B,O,7.5
485,O,B+,C,C,O,C,A,O,B,A,A+,A+,B,C,B+,B,O,B+,C,A,O,B+,A,A+,O,A,A+,B,C,A,A+,C,B+,C,A+,A,A+,C,C,A,O,C,B+,B,B,O,O,B+,A,C,A+,B,A,C,O,A,A+,A,B+,B+,7.45
486,C,B,A,B+,A,A,A+,B,C,B,A,O,C,B,A,B,O,O,B,B,A+,O,O,C,A,B+,B,B,O,B,B+,B+,O,C,O,B+,A+,B,C,B+,B+,B,B+,C,A+,A+,A+,B,C,A,A,C,B+,A,B+,A,B+,O,O,A,7.484375
487,A,A+,A+,A,C,C,A,B,B+,A+,O,B+,B,A,A,A,O,O,A+,B+,O,B,A,O,B+,C,A,A,A,O,B+,C,O,C,B+,A,A,A,B,O,A,A+,B,B,B,O,C,B,B,C,O,O,B,C,B+,B,B,B,C,C,7.215625
488,A,O,A+,C,A+,A,A+,B,C,A+,B,B,A,B,B,A+,C,A+,A,A+,C,A+,O,B+,A,A+,A,B+,A,A+,B+,A,B+,B,A+,O,O,A,B,O,C,A,B+,A+,C,A,A,A+,A,A,A+,B+,A+,A+,A+,A+,A,B+,A,B,7.728125
489,B+,A+,C,A+,C,A,A,A+,C,O,C,C,O,O,C,A,B+,O,B+,B+,B+,B+,C,B,C,C,A+,B+,B,C,A+,B,B+,A,A+,A+,A+,B+,B+,A+,C,B,A+,B,A+,A+,A,B+,A+,B,A,A+,B,C,O,A+,A+,C,B,A+,7.421875
490,B+,O,B,B+,C,O,B,O,A+,O,C,C,A,B,C,B,A+,A+,B+,A,A,A,C,C,B+,C,B+,A,C,C,C,B+,O,B,B,C,B,O,A+,B,B,B,B,B+,C,O,A+,O,A+,A+,O,B+,C,O,A+,O,B+,B,C,O,7.3875
491,C,C,A,A,C,A,B+,O,B+,C,C,C,A,A+,A,C,A,C,A+,B+,B,B,A,O,A,B,A+,O,C,C,O,B,C,O,A,B,C,B,A+,C,B+,O,O,A+,O,B,B,C,B+,A,A,A+,A,C,B+,A,B+,A,C,O,7.24375
492,O,B,A,B+,B,O,O,A,B+,C,O,A+,B,C,A,A+,A,C,B+,B+,A,A,B,B+,A+,O,C,B,C,B,A,O,C,C,B+,B+,B+,A,A,A+,C,B+,B+,A+,A+,A,O,B+,B+,A,B+,B,B,O,O,A,B,A+,A+,B+,7.546875
493,A+,A+,C,B,A+,O,O,C,A,A+,B,C,C,C,B+,O,A,B,A+,A,B+,C,B+,B+,A+,A+,A+,B+,A+,A+,A+,B+,B+,O,A+,O,B+,A+,O,A,C,C,O,B+,A+,C,A,A+,O,C,B,C,B+,C,O,B+,A,A,A,B+,7.621875
494,A+,C,C,O,O,C,B+,O,A,C,B,B+,B+,A+,C,B,A+,B+,B,B+,A,O,A,A+,A,O,B+,B+,C,C,A,B,A,C,O,B,C,B+,A,B,A+,O,O,O,A,A,O,B+,C,B,O,B,B+,B,C,B+,A+,C,C,A+,7.459375
495,A,C,A+,A+,O,O,A,A+,C,A+,A,B+,B+,B,B,B+,O,C,A,B+,A+,B+,B,B,A,A,C,A,C,A,A+,B+,B,B,B+,B,A,B+,B+,A+,C,C,B,B+,A,B,B,A,A,B+,C,B,B,O,C,C,A+,A+,C,A,7.240625
496,O,B,B,C,C,A+,B+,A,A,A+,B,B+,C,C,A,A+,A+,A,O,O,O,B,B,O,A,B,B,B,B+,C,A,B+,C,A,A,A+,A+,B,A,B,C,O,B,C,A,B,O,C,A,A,A+,A,B+,B,C,O,C,O,O,B,7.296875
497,B,B,C,B,O,O,C,A,C,C,A+,A,C,C,B+,A+,C,B,B,C,A,A,A,C,A+,C,O,B+,A,O,A+,A,B+,B+,O,B,C,O,B,B+,A+,O,O,B,O,A+,B,C,B+,C,O,B+,A+,O,A,C,C,A+,O,C,7.25625
498,C,A+,A+,O,O,A+,B,A,O,B,B+,C,C,B,O,A+,A,O,O,A,B,O,B,O,A,B,A+,O,A,A+,B+,O,B,B,B,A,B+,C,O,B,C,A+,A+,C,C,B+,B,B,B+,C,C,C,A,A,B,B+,C,A,B,B+,7.21875
499,B+,C,O,B+,C,A+,O,B,O,B+,B,A+,O,B+,A,C,O,A,B+,O,O,B,B+,A,O,A+,B+,B+,B+,C,A+,A+,B+,C,B,A,A,C,B,A,A+,O,B+,A,A,B+,B+,C,C,B,B+,A+,A+,A,B,C,A,O,B+,B+,7.41875
500,O,B,A,A+,B,A+,A+,B+,B+,C,B+,O,B,B+,B+,O,C,A,C,B,B,A,B+,C,O,B,B+,B,B+,B,O,B,O,B+,O,B+,C,B+,O,A+,A,A+,O,A,O,A,B,B+,A+,B,A+,C,O,O,A+,B+,B,C,C,O,7.446875
501,C,B+,A+,B+,O,B,O,C,O,A+,B,B+,B,C,B+,A,B+,O,C,C,A+,A+,B,A+,B+,O,A,A,C,O,B,O,A+,O,A,B+,B+,C,B+,B+,B,O,A,C,B,A,B+,C,C,B,O,B,C,A+,O,A+,B+,B,O,A,7.396875
502,B+,B+,B+,B+,A,B,A+,A,B,B,C,A+,B,B,A,A+,A,B+,C,O,C,B,A+,O,B+,A,A+,O,B,O,B+,C,A+,A,A,A+,A,B,O,B+,B,C,B,B+,B,O,O,B,B+,A,B+,B,B+,A+,B,B,B,O,A+,B,7.4125
503,O,A,B+,C,A,C,B,B+,C,O,C,A,O,A+,C,C,A,B+,B+,B+,A,B,A+,B+,O,C,C,B,B,C,A+,A+,A,C,A,O,A,O,C,B,A+,B,A,B,B+,C,B,O,A+,B,O,A+,C,C,B,B+,A,B,C,A+,7.15625
504,O,B+,A,B+,O,A,B+,B,A+,C,A+,O,C,O,B,B,A,A,A+,B+,A,B+,O,B,O,A+,B,A+,C,O,O,O,B+,C,B+,A+,B,A,O,B+,B+,B,B,O,B+,O,C,O,B,C,B,O,C,A,B+,B+,B,C,A,B+,7.69375
505,O,A+,A+,C,A,A,O,C,A+,C,C,B+,O,C,A+,A,A+,B,B+,O,B,A+,O,A+,C,C,C,B,A,A,A,A,B+,O,A+,B,O,A,C,B+,B+,A+,O,O,B,A,A,O,C,A+,B,A+,B+,C,C,A+,O,C,C,A,7.6
506,B+,O,O,A,A+,B,B+,A+,A+,B,A,A+,B+,A,O,A+,B+,B,O,A+,B+,C,O,B,B+,A,A+,A,C,C,B+,B+,A+,C,A,O,A+,O,C,B,B,O,B,B,B+,A,C,C,O,O,A,O,O,A,B+,O,C,C,B,A+,7.5875
507,B+,O,A+,A+,B,C,A+,B,B+,A,C,C,C,B,A,C,O,C,A,B,A+,C,A+,B,O,B+,A+,B+,B+,B,C,A+,B+,A+,B,C,B+,C,O,C,B+,B+,B,O,O,C,B,C,A+,C,O,O,A,O,C,C,A+,O,B+,B+,7.1
508,A+,O,C,O,A+,B,B+,A,B+,B+,O,A+,A+,O,B,B+,A,A,B,B+,A,A,C,B,B,A,B+,A,A+,B,A+,C,A,B+,C,O,B,B,B,B+,B,B,B,B,C,B+,B,A,A+,B+,C,B,C,B+,A+,A,O,B,B+,B,7.253125
509,B,O,C,C,B+,C,B+,C,B+,B,C,C,A+,O,C,B+,O,C,O,C,B+,C,A,A,A,A,A,O,A+,A,B+,B,A,A+,A,B+,A+,A,A,C,A+,A+,B,C,C,O,B,A+,A,O,C,A,A,A,C,A+,B,C,O,B,7.296875
510,O,A,C,O,O,B+,B+,B+,A,C,C,A,O,B+,B+,O,A,A,A+,O,O,O,A+,B,A,C,B+,B,O,A,A+,C,A+,O,C,A,A,B+,A,B+,B,O,A+,C,O,A,B,A+,A+,O,A,C,C,B,A+,B,B,C,B+,B,7.575
511,B,B+,A,C,C,B,O,A+,C,C,C,A,A+,A+,C,A,C,A+,O,A,B+,A,B+,O,B,C,C,O,A,A+,C,A+,A+,B+,A+,O,C,C,C,B,A+,B,C,O,O,C,C,O,B+,B+,C,A+,B+,A+,A,B+,B+,B+,B,O,7.3625
